Stock,Samples,Class_Balance,Confidence,Threshold,Accuracy,Precision,Recall,F1-score,AUC,AUPR,MSE,RMSE,MAE,Reliable
600006.SH,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.10135924161286407,0.31836966189143096,0.31753218173980713,False
002385.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2969493951904951,1.1388368606567383,1.1388368606567383,False
002567.SZ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.07604827576693651,0.275768518447876,0.275768518447876,False
600745.SH,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.012054020204232074,0.10979080200195312,0.10979080200195312,False
002100.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0014600522768546398,0.03821063041687012,0.03821063041687012,False
002074.SZ,2,0.0,0.0,0.1670692151276285,0.5,0.0,0.0,0.0,0.5,0.5,0.015600200278640064,0.12490076172161667,0.12487935274839401,False
002466.SZ,2,0.5,0.1414213562373095,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.019421307435594955,0.13936035101704844,0.1178238745778799,False
603259.SH,4,0.0,0.0,0.30557625691863444,0.5,0.0,0.0,0.0,0.5,0.5,0.10854545112813985,0.32946236678585894,0.329450823366642,False
300750.SZ,30,0.3,0.3286335345030996,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.09898650094030452,0.31462120230573226,0.3063941985368729,True
002468.SZ,1,0.0,0.0,0.3271411207815666,1.0,0.0,0.0,0.0,0.5,0.5,0.13621488193502618,0.3690730035305023,0.3690730035305023,False
601066.SH,5,0.4,0.1788854381999832,1.0,0.4,0.0,0.0,0.0,0.5,0.5,0.017104675011231408,0.13078484243684896,0.11613514423370361,False
600438.SH,3,0.33333333333333337,0.11547005383792516,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.030931033637235632,0.17587220825711955,0.11936798691749573,False
601633.SH,4,0.25,0.1,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.1683515534589804,0.4103066578292148,0.39999687299132347,False
000591.SZ,21,0.38095238095238093,0.3491486243775878,1.0,0.6190476190476191,0.0,0.0,0.0,0.5,0.5,0.1207314152333134,0.3474642646853247,0.3185563882191976,True
002812.SZ,1,0.0,0.0,0.09228974976212069,1.0,0.0,0.0,0.0,0.5,0.5,0.007780441813638683,0.08820681273937225,0.08820681273937225,False
600900.SH,2,0.5,0.1414213562373095,0.4536354112742513,1.0,1.0,1.0,1.0,1.0,1.0,0.16614916329359808,0.40761398809854166,0.40761318802833557,False
600859.SH,3,0.0,0.0,0.04549005255103111,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.00222770152278239,0.047198533057526165,0.04674844195445379,False
601607.SH,2,0.5,0.1414213562373095,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.033788578047784346,0.18381669686887628,0.1711834892630577,False
000413.SZ,6,0.5,0.2449489742783178,0.4253627359867096,1.0,1.0,1.0,1.0,0.5,0.5,0.01918377003982345,0.13850548739968194,0.12462874501943588,False
002456.SZ,8,0.25,0.1414213562373095,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.11796421053778419,0.34345918321946817,0.3132817121222615,False
600733.SH,3,0.33333333333333337,0.11547005383792516,0.6742980048076179,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.5,0.02155240707730092,0.14680738086792816,0.1345670372247696,False
002647.SZ,2,0.0,0.0,0.6950650336089399,0.5,1.0,0.5,0.6666666666666666,1.0,0.5,0.1866637382354046,0.4320459908799115,0.4231615960597992,False
000100.SZ,3,0.33333333333333337,0.11547005383792516,0.9381267280854596,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.5,0.028862104688216414,0.16988850663954996,0.15173531447847685,False
